#Duplication rate	Coverage
1.0	7.0995246E7
2.0	7450805.0
3.0	1186085.0
4.0	309588.0
5.0	99029.0
6.0	41043.0
7.0	20205.0
8.0	12434.0
9.0	8728.0
10.0	6676.0
11.0	5384.0
12.0	4663.0
13.0	4087.0
14.0	3618.0
15.0	3303.0
16.0	2995.0
17.0	2690.0
18.0	2574.0
19.0	2274.0
20.0	2220.0
21.0	2007.0
22.0	1943.0
23.0	1832.0
24.0	1665.0
25.0	1711.0
26.0	1496.0
27.0	1496.0
28.0	1407.0
29.0	1324.0
30.0	1237.0
31.0	1260.0
32.0	1196.0
33.0	1145.0
34.0	1096.0
35.0	1084.0
36.0	1080.0
37.0	1037.0
38.0	1003.0
39.0	923.0
40.0	916.0
41.0	931.0
42.0	901.0
43.0	874.0
44.0	818.0
45.0	802.0
46.0	774.0
47.0	807.0
48.0	771.0
49.0	755.0
50.0	64303.0
