#Mapping quality	mapping quality
10.0	412976.0
11.0	374673.0
12.0	626837.0
13.0	631943.0
14.0	742237.0
15.0	1079597.0
16.0	1135102.0
17.0	1166884.0
18.0	1205145.0
19.0	1202147.0
20.0	1155325.0
21.0	1125720.0
22.0	1099401.0
23.0	949612.0
24.0	1064296.0
25.0	1097537.0
26.0	963576.0
27.0	1542377.0
28.0	1009100.0
29.0	1074180.0
30.0	1322189.0
31.0	1257444.0
32.0	1302399.0
33.0	1575342.0
34.0	1469591.0
35.0	1660275.0
36.0	1907537.0
37.0	1946433.0
38.0	1999548.0
39.0	2393315.0
40.0	9578978.0
41.0	2472733.0
42.0	2625500.0
43.0	2730671.0
44.0	2862584.0
45.0	3281546.0
46.0	3795485.0
47.0	3253192.0
48.0	3822685.0
49.0	3570661.0
50.0	5948235.0
51.0	4305883.0
52.0	4988147.0
53.0	6506531.0
54.0	5657094.0
55.0	7337343.0
56.0	8212836.0
57.0	8657571.0
58.0	9292235.0
59.0	1.2023274E7
60.0	2.18099931E9
