#Insert size (bp)	insert size
2.0	52.0
3.0	55.0
4.0	64.0
5.0	49.0
6.0	81.0
7.0	83.0
8.0	72.0
9.0	63.0
10.0	86.0
11.0	178.0
12.0	130.0
13.0	157.0
14.0	141.0
15.0	179.0
16.0	150.0
17.0	152.0
18.0	178.0
19.0	18985.0
20.0	6941.0
21.0	9676.0
22.0	6622.0
23.0	3243.0
24.0	2234.0
25.0	1287.0
26.0	931.0
27.0	1011.0
28.0	1329.0
29.0	826.0
30.0	617.0
31.0	716.0
32.0	1065.0
33.0	1087.0
34.0	936.0
35.0	760.0
36.0	1339.0
37.0	573.0
38.0	589.0
39.0	622.0
40.0	508.0
41.0	491.0
42.0	622.0
43.0	494.0
44.0	611.0
45.0	589.0
46.0	467.0
47.0	643.0
48.0	727.0
49.0	611.0
50.0	543.0
51.0	538.0
52.0	643.0
53.0	1039.0
54.0	802.0
55.0	931.0
56.0	1101.0
57.0	1097.0
58.0	696.0
59.0	789.0
60.0	1122.0
61.0	854.0
62.0	782.0
63.0	666.0
64.0	627.0
65.0	1057.0
66.0	772.0
67.0	722.0
68.0	843.0
69.0	804.0
70.0	1141.0
71.0	876.0
72.0	923.0
73.0	1645.0
74.0	1044.0
75.0	1109.0
76.0	1083.0
77.0	1235.0
78.0	1210.0
79.0	1291.0
80.0	1595.0
81.0	1275.0
82.0	1603.0
83.0	1444.0
84.0	1316.0
85.0	1510.0
86.0	1440.0
87.0	1943.0
88.0	1596.0
89.0	1464.0
90.0	1921.0
91.0	1350.0
92.0	1634.0
93.0	1876.0
94.0	1505.0
95.0	1813.0
96.0	2191.0
97.0	2244.0
98.0	2865.0
99.0	2289.0
100.0	4898.0
101.0	5069.0
102.0	4989.0
103.0	5311.0
104.0	5159.0
105.0	6172.0
106.0	5772.0
107.0	5716.0
108.0	6244.0
109.0	6638.0
110.0	6852.0
111.0	6530.0
112.0	6109.0
113.0	6819.0
114.0	6424.0
115.0	6818.0
116.0	6836.0
117.0	9734.0
118.0	7435.0
119.0	8195.0
120.0	7770.0
121.0	8184.0
122.0	9279.0
123.0	8290.0
124.0	8224.0
125.0	8881.0
126.0	8940.0
127.0	9518.0
128.0	9609.0
129.0	9630.0
130.0	9837.0
131.0	9997.0
132.0	10541.0
133.0	11329.0
134.0	11527.0
135.0	11761.0
136.0	11999.0
137.0	12772.0
138.0	12059.0
139.0	12570.0
140.0	13144.0
141.0	14361.0
142.0	13316.0
143.0	14193.0
144.0	14508.0
145.0	16119.0
146.0	16051.0
147.0	15088.0
148.0	15933.0
149.0	16182.0
150.0	16882.0
151.0	17193.0
152.0	18504.0
153.0	16814.0
154.0	17899.0
155.0	18941.0
156.0	18780.0
157.0	19600.0
158.0	21111.0
159.0	21259.0
160.0	21407.0
161.0	22514.0
162.0	22848.0
163.0	22777.0
164.0	23311.0
165.0	23429.0
166.0	24408.0
167.0	24725.0
168.0	25556.0
169.0	26197.0
170.0	26771.0
171.0	28026.0
172.0	30144.0
173.0	28711.0
174.0	29916.0
175.0	31719.0
176.0	32129.0
177.0	31841.0
178.0	32751.0
179.0	33237.0
180.0	33549.0
181.0	35086.0
182.0	36004.0
183.0	37673.0
184.0	37436.0
185.0	38973.0
186.0	40031.0
187.0	41340.0
188.0	41925.0
189.0	42842.0
190.0	43678.0
191.0	45778.0
192.0	45536.0
193.0	47867.0
194.0	48038.0
195.0	49950.0
196.0	52249.0
197.0	50115.0
198.0	53202.0
199.0	52993.0
200.0	53348.0
201.0	57170.0
202.0	56087.0
203.0	58486.0
204.0	58231.0
205.0	58464.0
206.0	60717.0
207.0	62889.0
208.0	62656.0
209.0	66034.0
210.0	65620.0
211.0	67262.0
212.0	69391.0
213.0	70769.0
214.0	70838.0
215.0	73242.0
216.0	75478.0
217.0	74925.0
218.0	79626.0
219.0	78486.0
220.0	81134.0
221.0	85421.0
222.0	81532.0
223.0	83881.0
224.0	85381.0
225.0	87723.0
226.0	88825.0
227.0	89507.0
228.0	90346.0
229.0	92295.0
230.0	93700.0
231.0	95360.0
232.0	99101.0
233.0	101645.0
234.0	102997.0
235.0	105297.0
236.0	105549.0
237.0	107685.0
238.0	108795.0
239.0	110262.0
240.0	111265.0
241.0	112533.0
242.0	117351.0
243.0	115075.0
244.0	119379.0
245.0	119847.0
246.0	123426.0
247.0	123855.0
248.0	126391.0
249.0	126428.0
250.0	128424.0
251.0	129640.0
252.0	132263.0
253.0	134406.0
254.0	136741.0
255.0	139159.0
256.0	141862.0
257.0	144268.0
258.0	145015.0
259.0	144327.0
260.0	146202.0
261.0	147837.0
262.0	148813.0
263.0	152374.0
264.0	152038.0
265.0	155712.0
266.0	161950.0
267.0	157677.0
268.0	160853.0
269.0	162798.0
270.0	163208.0
271.0	165634.0
272.0	168479.0
273.0	167314.0
274.0	169480.0
275.0	173057.0
276.0	174499.0
277.0	174869.0
278.0	178136.0
279.0	180454.0
280.0	180145.0
281.0	181396.0
282.0	182109.0
283.0	183688.0
284.0	185854.0
285.0	186572.0
286.0	188233.0
287.0	190876.0
288.0	193999.0
289.0	195054.0
290.0	192598.0
291.0	193949.0
292.0	195559.0
293.0	196347.0
294.0	198454.0
295.0	199831.0
296.0	201345.0
297.0	205643.0
298.0	204952.0
299.0	206505.0
300.0	207290.0
301.0	209966.0
302.0	207997.0
303.0	209120.0
304.0	209735.0
305.0	212188.0
306.0	213690.0
307.0	213405.0
308.0	217212.0
309.0	216856.0
310.0	216675.0
311.0	217646.0
312.0	219562.0
313.0	219444.0
314.0	218799.0
315.0	221464.0
316.0	221539.0
317.0	223253.0
318.0	221894.0
319.0	224164.0
320.0	223557.0
321.0	225221.0
322.0	222850.0
323.0	225367.0
324.0	227247.0
325.0	227132.0
326.0	227105.0
327.0	224733.0
328.0	226649.0
329.0	229539.0
330.0	228998.0
331.0	228879.0
332.0	228818.0
333.0	229208.0
334.0	227405.0
335.0	227178.0
336.0	227461.0
337.0	227967.0
338.0	229372.0
339.0	230012.0
340.0	229165.0
341.0	228406.0
342.0	229754.0
343.0	228569.0
344.0	227818.0
345.0	227194.0
346.0	227882.0
347.0	229578.0
348.0	230864.0
349.0	228052.0
350.0	226686.0
351.0	226797.0
352.0	226668.0
353.0	225234.0
354.0	225862.0
355.0	224642.0
356.0	225293.0
357.0	223686.0
358.0	221845.0
359.0	222079.0
360.0	223015.0
361.0	223426.0
362.0	223062.0
363.0	221587.0
364.0	219748.0
365.0	218434.0
366.0	217976.0
367.0	218429.0
368.0	217693.0
369.0	215672.0
370.0	216580.0
371.0	219274.0
372.0	214491.0
373.0	214689.0
374.0	214095.0
375.0	212532.0
376.0	210136.0
377.0	209149.0
378.0	211225.0
379.0	209522.0
380.0	209718.0
381.0	208445.0
382.0	208346.0
383.0	203356.0
384.0	203721.0
385.0	200847.0
386.0	201212.0
387.0	199878.0
388.0	199543.0
389.0	199551.0
390.0	200141.0
391.0	198784.0
392.0	196973.0
393.0	196065.0
394.0	194908.0
395.0	193465.0
396.0	189839.0
397.0	191524.0
398.0	189071.0
399.0	187950.0
400.0	188140.0
401.0	189013.0
402.0	187165.0
403.0	184588.0
404.0	185541.0
405.0	183144.0
406.0	180581.0
407.0	179213.0
408.0	181816.0
409.0	176827.0
410.0	176222.0
411.0	177059.0
412.0	175982.0
413.0	175448.0
414.0	172581.0
415.0	171777.0
416.0	170641.0
417.0	168876.0
418.0	167916.0
419.0	165663.0
420.0	166233.0
421.0	163399.0
422.0	163928.0
423.0	162985.0
424.0	161382.0
425.0	161574.0
426.0	159501.0
427.0	157827.0
428.0	156389.0
429.0	155230.0
430.0	153560.0
431.0	152085.0
432.0	152591.0
433.0	152613.0
