#Mapping quality	mapping quality
10.0	412701.0
11.0	374305.0
12.0	626146.0
13.0	630912.0
14.0	741313.0
15.0	1078459.0
16.0	1133834.0
17.0	1165792.0
18.0	1203659.0
19.0	1200211.0
20.0	1154523.0
21.0	1124342.0
22.0	1097849.0
23.0	946589.0
24.0	1063716.0
25.0	1095479.0
26.0	963492.0
27.0	1539018.0
28.0	1006562.0
29.0	1073304.0
30.0	1320079.0
31.0	1255112.0
32.0	1298127.0
33.0	1570753.0
34.0	1466012.0
35.0	1655671.0
36.0	1901888.0
37.0	1943452.0
38.0	1995175.0
39.0	2388198.0
40.0	9536633.0
41.0	2468939.0
42.0	2625749.0
43.0	2729312.0
44.0	2852702.0
45.0	3280255.0
46.0	3781576.0
47.0	3251398.0
48.0	3809274.0
49.0	3559017.0
50.0	5929619.0
51.0	4292269.0
52.0	4974816.0
53.0	6466944.0
54.0	5638543.0
55.0	7320112.0
56.0	8173020.0
57.0	8607128.0
58.0	9270678.0
59.0	1.1914214E7
60.0	2.142228171E9
61.0	1.9564112E7
62.0	1.144884E7
63.0	4021056.0
64.0	878111.0
65.0	2142110.0
66.0	404420.0
67.0	96105.0
68.0	47538.0
69.0	2252.0
70.0	358104.0
