#Duplication rate	Coverage
1.0	7.1009498E7
2.0	7448210.0
3.0	1184668.0
4.0	309012.0
5.0	98794.0
6.0	40962.0
7.0	20151.0
8.0	12409.0
9.0	8712.0
10.0	6672.0
11.0	5377.0
12.0	4664.0
13.0	4093.0
14.0	3619.0
15.0	3299.0
16.0	2997.0
17.0	2688.0
18.0	2578.0
19.0	2274.0
20.0	2217.0
21.0	2007.0
22.0	1944.0
23.0	1834.0
24.0	1664.0
25.0	1711.0
26.0	1495.0
27.0	1500.0
28.0	1406.0
29.0	1323.0
30.0	1236.0
31.0	1261.0
32.0	1196.0
33.0	1145.0
34.0	1095.0
35.0	1084.0
36.0	1078.0
37.0	1037.0
38.0	1003.0
39.0	923.0
40.0	916.0
41.0	931.0
42.0	901.0
43.0	874.0
44.0	818.0
45.0	802.0
46.0	775.0
47.0	807.0
48.0	771.0
49.0	755.0
50.0	64303.0
