#Insert size (bp)	insert size
2.0	51.0
3.0	55.0
4.0	63.0
5.0	49.0
6.0	81.0
7.0	83.0
8.0	72.0
9.0	63.0
10.0	85.0
11.0	178.0
12.0	130.0
13.0	158.0
14.0	141.0
15.0	180.0
16.0	150.0
17.0	152.0
18.0	178.0
19.0	18986.0
20.0	6940.0
21.0	9676.0
22.0	6621.0
23.0	3244.0
24.0	2233.0
25.0	1287.0
26.0	931.0
27.0	1007.0
28.0	1331.0
29.0	826.0
30.0	616.0
31.0	715.0
32.0	1065.0
33.0	1087.0
34.0	936.0
35.0	760.0
36.0	1340.0
37.0	572.0
38.0	589.0
39.0	621.0
40.0	508.0
41.0	491.0
42.0	622.0
43.0	495.0
44.0	610.0
45.0	589.0
46.0	468.0
47.0	642.0
48.0	727.0
49.0	613.0
50.0	544.0
51.0	538.0
52.0	645.0
53.0	1038.0
54.0	801.0
55.0	930.0
56.0	1100.0
57.0	1097.0
58.0	695.0
59.0	789.0
60.0	1122.0
61.0	855.0
62.0	780.0
63.0	667.0
64.0	627.0
65.0	1054.0
66.0	768.0
67.0	723.0
68.0	841.0
69.0	805.0
70.0	1141.0
71.0	877.0
72.0	922.0
73.0	1648.0
74.0	1042.0
75.0	1108.0
76.0	1082.0
77.0	1233.0
78.0	1210.0
79.0	1294.0
80.0	1592.0
81.0	1274.0
82.0	1601.0
83.0	1442.0
84.0	1319.0
85.0	1512.0
86.0	1435.0
87.0	1947.0
88.0	1594.0
89.0	1463.0
90.0	1918.0
91.0	1351.0
92.0	1634.0
93.0	1873.0
94.0	1505.0
95.0	1810.0
96.0	2188.0
97.0	2242.0
98.0	2858.0
99.0	2285.0
100.0	4906.0
101.0	5075.0
102.0	4985.0
103.0	5316.0
104.0	5157.0
105.0	6173.0
106.0	5772.0
107.0	5715.0
108.0	6248.0
109.0	6643.0
110.0	6857.0
111.0	6582.0
112.0	6160.0
113.0	6738.0
114.0	6395.0
115.0	6819.0
116.0	6838.0
117.0	9727.0
118.0	7431.0
119.0	8189.0
120.0	7784.0
121.0	8167.0
122.0	9280.0
123.0	8293.0
124.0	8221.0
125.0	8888.0
126.0	8947.0
127.0	9523.0
128.0	9614.0
129.0	9623.0
130.0	9842.0
131.0	9994.0
132.0	10553.0
133.0	11325.0
134.0	11531.0
135.0	11757.0
136.0	11998.0
137.0	12775.0
138.0	12059.0
139.0	12575.0
140.0	13142.0
141.0	14349.0
142.0	13318.0
143.0	14187.0
144.0	14513.0
145.0	16126.0
146.0	16052.0
147.0	15080.0
148.0	15934.0
149.0	16175.0
150.0	16893.0
151.0	17182.0
152.0	18504.0
153.0	16820.0
154.0	17903.0
155.0	18949.0
156.0	18778.0
157.0	19595.0
158.0	21114.0
159.0	21254.0
160.0	21406.0
161.0	22521.0
162.0	22852.0
163.0	22782.0
164.0	23314.0
165.0	23431.0
166.0	24399.0
167.0	24709.0
168.0	25553.0
169.0	26204.0
170.0	26773.0
171.0	28015.0
172.0	30126.0
173.0	28726.0
174.0	29930.0
175.0	31729.0
176.0	32111.0
177.0	31865.0
178.0	32761.0
179.0	33222.0
180.0	33559.0
181.0	35070.0
182.0	35992.0
183.0	37686.0
184.0	37447.0
185.0	38952.0
186.0	40021.0
187.0	41340.0
188.0	41923.0
189.0	42835.0
190.0	43681.0
191.0	45815.0
192.0	45564.0
193.0	47849.0
194.0	48049.0
195.0	49957.0
196.0	52257.0
197.0	50115.0
198.0	53180.0
199.0	53021.0
200.0	53327.0
201.0	57201.0
202.0	56092.0
203.0	58490.0
204.0	58254.0
205.0	58445.0
206.0	60703.0
207.0	62910.0
208.0	62650.0
209.0	66012.0
210.0	65601.0
211.0	67238.0
212.0	69405.0
213.0	70813.0
214.0	70836.0
215.0	73215.0
216.0	75493.0
217.0	74977.0
218.0	79635.0
219.0	78459.0
220.0	81141.0
221.0	85401.0
222.0	81542.0
223.0	83846.0
224.0	85378.0
225.0	87761.0
226.0	88813.0
227.0	89513.0
228.0	90387.0
229.0	92327.0
230.0	93715.0
231.0	95348.0
232.0	99112.0
233.0	101667.0
234.0	103012.0
235.0	105294.0
236.0	105532.0
237.0	107680.0
238.0	108771.0
239.0	110283.0
240.0	111331.0
241.0	112515.0
242.0	117305.0
243.0	115070.0
244.0	119363.0
245.0	119854.0
246.0	123380.0
247.0	123888.0
248.0	126402.0
249.0	126428.0
250.0	128450.0
251.0	129649.0
252.0	132230.0
253.0	134467.0
254.0	136722.0
255.0	139169.0
256.0	141910.0
257.0	144244.0
258.0	144978.0
259.0	144367.0
260.0	146210.0
261.0	147883.0
262.0	148786.0
263.0	152388.0
264.0	152055.0
265.0	155709.0
266.0	161973.0
267.0	157690.0
268.0	160858.0
269.0	162846.0
270.0	163180.0
271.0	165620.0
272.0	168498.0
273.0	167351.0
274.0	169433.0
275.0	173107.0
276.0	174515.0
277.0	174841.0
278.0	178166.0
279.0	180460.0
280.0	180216.0
281.0	181395.0
282.0	182127.0
283.0	183625.0
284.0	185908.0
285.0	186533.0
286.0	188338.0
287.0	190861.0
288.0	193994.0
289.0	195048.0
290.0	192576.0
291.0	193932.0
292.0	195574.0
293.0	196372.0
294.0	198397.0
295.0	199825.0
296.0	201406.0
297.0	205669.0
298.0	205007.0
299.0	206454.0
300.0	207298.0
301.0	210009.0
302.0	207962.0
303.0	209185.0
304.0	209757.0
305.0	212178.0
306.0	213604.0
307.0	213410.0
308.0	217239.0
309.0	216851.0
310.0	216712.0
311.0	217662.0
312.0	219557.0
313.0	219400.0
314.0	218822.0
315.0	221471.0
316.0	221613.0
317.0	223257.0
318.0	221855.0
319.0	224185.0
320.0	223599.0
321.0	225145.0
322.0	222813.0
323.0	225358.0
324.0	227242.0
325.0	227101.0
326.0	227079.0
327.0	224801.0
328.0	226639.0
329.0	229534.0
330.0	228946.0
331.0	228894.0
332.0	228824.0
333.0	229241.0
334.0	227377.0
335.0	227197.0
336.0	227501.0
337.0	227921.0
338.0	229330.0
339.0	230046.0
340.0	229198.0
341.0	228441.0
342.0	229722.0
343.0	228535.0
344.0	227850.0
345.0	227215.0
346.0	227918.0
347.0	229591.0
348.0	230922.0
349.0	228058.0
350.0	226621.0
351.0	226808.0
352.0	226679.0
353.0	225183.0
354.0	225912.0
355.0	224574.0
356.0	225342.0
357.0	223667.0
358.0	221847.0
359.0	222111.0
360.0	223002.0
361.0	223394.0
362.0	223069.0
363.0	221576.0
364.0	219736.0
365.0	218525.0
366.0	217952.0
367.0	218447.0
368.0	217646.0
369.0	215644.0
370.0	216570.0
371.0	219263.0
372.0	214488.0
373.0	214724.0
374.0	214112.0
375.0	212522.0
376.0	210153.0
377.0	209133.0
378.0	211228.0
379.0	209544.0
380.0	209695.0
381.0	208459.0
382.0	208369.0
383.0	203402.0
384.0	203703.0
385.0	200825.0
386.0	201162.0
387.0	199961.0
388.0	199525.0
389.0	199547.0
390.0	200081.0
391.0	198844.0
392.0	196969.0
393.0	196071.0
394.0	194853.0
395.0	193441.0
396.0	189909.0
397.0	191495.0
398.0	189073.0
399.0	187955.0
400.0	188095.0
401.0	189045.0
402.0	187194.0
403.0	184516.0
404.0	185521.0
405.0	183142.0
406.0	180577.0
407.0	179213.0
408.0	181839.0
409.0	176764.0
410.0	176215.0
411.0	177060.0
412.0	176000.0
413.0	175413.0
414.0	172600.0
415.0	171760.0
416.0	170657.0
417.0	168876.0
418.0	167934.0
419.0	165658.0
420.0	166207.0
421.0	163380.0
422.0	163945.0
423.0	162988.0
424.0	161327.0
425.0	161641.0
426.0	159450.0
427.0	157849.0
428.0	156442.0
429.0	155199.0
430.0	153524.0
431.0	152100.0
432.0	152616.0
433.0	152630.0
434.0	150769.0
435.0	150949.0
436.0	148486.0
437.0	147616.0
438.0	145868.0
439.0	144402.0
440.0	143882.0
441.0	143425.0
442.0	142484.0
443.0	141377.0
444.0	140922.0
445.0	138383.0
446.0	140765.0
447.0	136690.0
448.0	136025.0
449.0	134347.0
450.0	134145.0
451.0	132604.0
452.0	132225.0
453.0	130636.0
454.0	130456.0
455.0	129380.0
456.0	127890.0
457.0	127479.0
458.0	125893.0
459.0	125209.0
460.0	123037.0
461.0	123258.0
462.0	121352.0
463.0	120259.0
464.0	120080.0
465.0	118837.0
466.0	117495.0
467.0	117090.0
468.0	116561.0
469.0	114803.0
470.0	112827.0
471.0	112861.0
472.0	112139.0
473.0	110986.0
474.0	109528.0
475.0	108622.0
476.0	107165.0
477.0	105820.0
478.0	105346.0
479.0	104728.0
480.0	103704.0
481.0	102421.0
482.0	101091.0
483.0	100967.0
484.0	99887.0
485.0	97680.0
486.0	97657.0
487.0	95967.0
488.0	96673.0
489.0	93969.0
490.0	92947.0
491.0	92341.0
492.0	91876.0
493.0	90755.0
494.0	90530.0
495.0	88753.0
496.0	90244.0
497.0	87722.0
498.0	86048.0
499.0	86650.0
500.0	84833.0
501.0	83244.0
502.0	82971.0
503.0	81798.0
504.0	81120.0
505.0	80228.0
506.0	78674.0
507.0	77930.0
508.0	77051.0
509.0	77238.0
510.0	75643.0
511.0	74552.0
512.0	73867.0
513.0	73314.0
514.0	72323.0
515.0	71885.0
516.0	70636.0
517.0	70781.0
518.0	68795.0
519.0	68147.0
520.0	67555.0
521.0	66893.0
522.0	65736.0
523.0	65482.0
524.0	64394.0
525.0	63571.0
526.0	63874.0
527.0	62196.0
528.0	61631.0
529.0	61806.0
530.0	60200.0
531.0	59921.0
532.0	58764.0
533.0	58440.0
534.0	57056.0
535.0	57164.0
536.0	55964.0
537.0	55354.0
538.0	55044.0
539.0	54568.0
540.0	53842.0
541.0	52981.0
542.0	52187.0
543.0	51839.0
544.0	50983.0
545.0	49752.0
546.0	49103.0
547.0	48703.0
548.0	48185.0
549.0	47482.0
550.0	47415.0
551.0	46904.0
552.0	45837.0
553.0	44732.0
554.0	45044.0
555.0	43490.0
556.0	43117.0
557.0	42520.0
558.0	42108.0
559.0	41428.0
560.0	41180.0
561.0	40235.0
562.0	39524.0
563.0	40519.0
564.0	38825.0
565.0	38275.0
566.0	37094.0
567.0	37030.0
568.0	36267.0
569.0	36168.0
570.0	35234.0
571.0	34995.0
572.0	34538.0
573.0	34432.0
574.0	33436.0
575.0	33115.0
576.0	32705.0
577.0	32043.0
578.0	31498.0
579.0	31671.0
580.0	31822.0
581.0	30116.0
582.0	30064.0
583.0	29233.0
584.0	28756.0
585.0	28758.0
586.0	28519.0
587.0	28032.0
588.0	27241.0
589.0	26899.0
590.0	26441.0
591.0	26201.0
592.0	25463.0
593.0	25214.0
594.0	25304.0
595.0	24943.0
596.0	24209.0
597.0	23968.0
598.0	23554.0
599.0	23354.0
600.0	23008.0
601.0	22559.0
602.0	22167.0
603.0	21676.0
604.0	21227.0
605.0	21127.0
606.0	20761.0
607.0	20314.0
608.0	20036.0
609.0	20209.0
610.0	19170.0
611.0	19127.0
612.0	19116.0
613.0	18249.0
614.0	17888.0
615.0	17549.0
616.0	17914.0
617.0	17461.0
618.0	17240.0
619.0	16914.0
620.0	16437.0
621.0	16134.0
622.0	15819.0
623.0	15794.0
624.0	15378.0
625.0	15271.0
626.0	14638.0
627.0	14742.0
628.0	14291.0
629.0	14355.0
630.0	13925.0
631.0	13742.0
632.0	13632.0
633.0	13144.0
634.0	13223.0
635.0	12932.0
636.0	12452.0
637.0	12459.0
638.0	12220.0
639.0	11900.0
640.0	11723.0
641.0	11690.0
642.0	11476.0
643.0	11175.0
644.0	11213.0
645.0	10987.0
646.0	10768.0
647.0	10420.0
648.0	10357.0
649.0	10198.0
650.0	10166.0
651.0	9781.0
652.0	9791.0
653.0	9783.0
654.0	9620.0
655.0	9144.0
656.0	9108.0
657.0	9112.0
658.0	8684.0
659.0	8568.0
660.0	8622.0
661.0	8223.0
662.0	8127.0
663.0	7993.0
664.0	7865.0
665.0	7756.0
666.0	7578.0
667.0	7546.0
668.0	7236.0
669.0	7169.0
670.0	7048.0
671.0	7313.0
672.0	6824.0
673.0	7140.0
674.0	6697.0
675.0	6443.0
676.0	6259.0
677.0	6308.0
678.0	6075.0
679.0	5967.0
680.0	6065.0
681.0	5778.0
682.0	5702.0
683.0	5597.0
684.0	5515.0
685.0	5163.0
686.0	5566.0
687.0	5183.0
688.0	4962.0
689.0	5060.0
690.0	5014.0
691.0	4803.0
692.0	4723.0
693.0	4727.0
694.0	4480.0
695.0	4394.0
696.0	4315.0
697.0	4247.0
698.0	4279.0
699.0	4285.0
700.0	3946.0
701.0	3894.0
702.0	3831.0
703.0	3928.0
704.0	3750.0
705.0	3615.0
706.0	3623.0
707.0	3543.0
708.0	3589.0
709.0	3454.0
710.0	3533.0
711.0	3438.0
712.0	3460.0
713.0	3294.0
714.0	3142.0
715.0	3115.0
716.0	3004.0
717.0	2786.0
718.0	2987.0
719.0	2962.0
720.0	2800.0
721.0	2885.0
722.0	2757.0
723.0	2731.0
724.0	2712.0
725.0	2555.0
726.0	2519.0
727.0	2635.0
728.0	2449.0
729.0	2385.0
730.0	2392.0
731.0	2433.0
732.0	2300.0
733.0	2144.0
734.0	2236.0
735.0	2164.0
736.0	2162.0
737.0	2084.0
738.0	2133.0
739.0	2127.0
740.0	1938.0
741.0	1974.0
742.0	2018.0
743.0	2062.0
744.0	1874.0
745.0	1755.0
746.0	1745.0
747.0	1758.0
748.0	1792.0
749.0	1769.0
750.0	1655.0
751.0	1667.0
752.0	1559.0
753.0	1608.0
754.0	1532.0
755.0	1532.0
756.0	1638.0
757.0	1343.0
758.0	1419.0
759.0	1486.0
760.0	1384.0
761.0	1403.0
762.0	1296.0
763.0	1466.0
764.0	1341.0
765.0	1277.0
766.0	1308.0
767.0	1284.0
768.0	1264.0
769.0	1141.0
770.0	1117.0
771.0	1038.0
772.0	1120.0
773.0	1087.0
774.0	1072.0
775.0	1095.0
776.0	1067.0
777.0	958.0
778.0	1104.0
779.0	1004.0
780.0	925.0
781.0	1103.0
782.0	927.0
783.0	938.0
784.0	906.0
785.0	893.0
786.0	901.0
787.0	1292.0
788.0	913.0
789.0	806.0
790.0	769.0
791.0	850.0
792.0	875.0
793.0	841.0
794.0	801.0
795.0	869.0
796.0	773.0
797.0	730.0
798.0	652.0
799.0	755.0
800.0	2873.0
801.0	738.0
802.0	631.0
803.0	584.0
804.0	644.0
805.0	613.0
806.0	568.0
807.0	565.0
808.0	598.0
809.0	516.0
810.0	571.0
811.0	560.0
812.0	531.0
813.0	481.0
814.0	534.0
815.0	483.0
816.0	482.0
817.0	487.0
818.0	448.0
819.0	456.0
820.0	463.0
821.0	473.0
822.0	478.0
823.0	463.0
824.0	475.0
825.0	1350.0
826.0	429.0
827.0	443.0
828.0	427.0
829.0	408.0
830.0	426.0
831.0	393.0
832.0	405.0
833.0	394.0
834.0	284.0
835.0	339.0
836.0	406.0
837.0	268.0
838.0	161.0
839.0	159.0
840.0	223.0
841.0	162.0
842.0	94.0
843.0	93.0
844.0	101.0
845.0	125.0
846.0	96.0
847.0	108.0
848.0	98.0
849.0	130.0
850.0	94.0
851.0	119.0
852.0	106.0
853.0	89.0
854.0	82.0
855.0	101.0
856.0	97.0
857.0	84.0
858.0	84.0
859.0	105.0
860.0	111.0
861.0	102.0
862.0	91.0
863.0	316.0
864.0	81.0
865.0	94.0
866.0	69.0
